ano,semestre,data,regiao,uf,municipio,rede_ensino,serie,matriculados,evasoes,taxa_evasao,renda_media_familiar,indice_desempenho,acesso_internet,nivel_risco
2015,1,2015-06-01,Norte,AM,Manaus,Pública,3º ano,38388,3604,9.39,3302.32,66.53,87.5,Alto
2015,1,2015-06-01,Norte,AM,Manaus,Privada,3º ano,34326,979,2.85,2323.55,85.59,64.6,Baixo
2015,1,2015-06-01,Norte,PA,Belém,Pública,1º ano,22029,2461,11.18,2728.75,80.67,82.6,Alto
2015,1,2015-06-01,Norte,PA,Belém,Privada,2º ano,45187,1483,3.28,4389.77,68.68,61.8,Baixo
2015,1,2015-06-01,Norte,PA,Santarém,Pública,3º ano,37786,4071,10.77,2100.56,36.26,73.0,Alto
2015,1,2015-06-01,Norte,PA,Santarém,Privada,3º ano,33101,1805,5.45,3496.73,66.14,64.9,Médio
2015,1,2015-06-01,Norte,RO,Porto Velho,Pública,2º ano,40385,4054,10.04,1463.28,55.97,72.5,Alto
2015,1,2015-06-01,Norte,RO,Porto Velho,Privada,1º ano,43779,2286,5.22,2670.85,70.1,71.4,Médio
2015,1,2015-06-01,Norte,TO,Palmas,Pública,3º ano,3729,427,11.46,2319.52,68.68,46.9,Alto
2015,1,2015-06-01,Norte,TO,Palmas,Privada,3º ano,5609,228,4.07,1771.94,65.75,56.4,Médio
2015,1,2015-06-01,Nordeste,BA,Salvador,Pública,1º ano,15414,2079,13.49,2604.68,85.58,82.3,Crítico
2015,1,2015-06-01,Nordeste,BA,Salvador,Privada,3º ano,8722,43,0.5,2758.5,68.85,58.2,Baixo
2015,1,2015-06-01,Nordeste,BA,Feira de Santana,Pública,2º ano,45371,6793,14.97,1881.41,50.82,84.8,Crítico
2015,1,2015-06-01,Nordeste,BA,Feira de Santana,Privada,2º ano,25986,401,1.55,2746.08,81.57,77.5,Baixo
2015,1,2015-06-01,Nordeste,PE,Recife,Pública,3º ano,38835,4816,12.4,3077.74,56.79,73.4,Alto
2015,1,2015-06-01,Nordeste,PE,Recife,Privada,1º ano,41825,1028,2.46,3251.18,60.18,65.4,Baixo
2015,1,2015-06-01,Nordeste,PE,Jaboatão dos Guararapes,Pública,1º ano,41802,3883,9.29,2900.1,56.27,79.2,Alto
2015,1,2015-06-01,Nordeste,PE,Jaboatão dos Guararapes,Privada,2º ano,4542,201,4.44,1447.01,53.7,74.7,Médio
2015,1,2015-06-01,Nordeste,CE,Fortaleza,Pública,3º ano,35575,3930,11.05,2697.54,58.9,73.2,Alto
2015,1,2015-06-01,Nordeste,CE,Fortaleza,Privada,2º ano,26354,2484,9.43,3818.53,67.76,52.0,Alto
2015,1,2015-06-01,Nordeste,CE,Juazeiro do Norte,Pública,1º ano,44618,4416,9.9,2755.67,42.37,68.7,Alto
2015,1,2015-06-01,Nordeste,CE,Juazeiro do Norte,Privada,2º ano,32705,1277,3.91,3275.28,55.98,58.4,Baixo
2015,1,2015-06-01,Nordeste,MA,São Luís,Pública,3º ano,5135,592,11.53,3218.79,74.39,93.8,Alto
2015,1,2015-06-01,Nordeste,MA,São Luís,Privada,3º ano,33616,1164,3.46,2582.69,59.55,70.7,Baixo
2015,1,2015-06-01,Nordeste,PB,João Pessoa,Pública,1º ano,33190,4358,13.13,2548.33,74.94,52.2,Crítico
2015,1,2015-06-01,Nordeste,PB,João Pessoa,Privada,1º ano,19489,1370,7.03,2230.78,73.07,85.4,Médio
2015,1,2015-06-01,Centro-Oeste,DF,Brasília,Pública,1º ano,23933,2948,12.32,1956.0,63.88,45.5,Alto
2015,1,2015-06-01,Centro-Oeste,DF,Brasília,Privada,1º ano,16701,547,3.28,1468.59,58.3,67.2,Baixo
2015,1,2015-06-01,Centro-Oeste,GO,Goiânia,Pública,2º ano,36906,5067,13.73,3383.3,51.45,46.2,Crítico
2015,1,2015-06-01,Centro-Oeste,GO,Goiânia,Privada,1º ano,24497,650,2.66,2211.41,47.01,66.9,Baixo
2015,1,2015-06-01,Centro-Oeste,GO,Aparecida de Goiânia,Pública,2º ano,32980,3622,10.98,3810.56,67.44,89.2,Alto
2015,1,2015-06-01,Centro-Oeste,GO,Aparecida de Goiânia,Privada,1º ano,8070,230,2.85,2160.79,60.68,81.7,Baixo
2015,1,2015-06-01,Centro-Oeste,MT,Cuiabá,Pública,1º ano,19807,1171,5.92,1789.87,55.8,73.9,Médio
2015,1,2015-06-01,Centro-Oeste,MT,Cuiabá,Privada,2º ano,29441,2449,8.32,3301.72,80.07,58.8,Alto
2015,1,2015-06-01,Centro-Oeste,MS,Campo Grande,Pública,1º ano,35856,4346,12.12,2106.3,67.5,48.0,Alto
2015,1,2015-06-01,Centro-Oeste,MS,Campo Grande,Privada,2º ano,39621,2358,5.95,3535.08,77.02,53.7,Médio
2015,1,2015-06-01,Sudeste,SP,São Paulo,Pública,2º ano,16181,1420,8.78,2712.58,46.13,54.8,Alto
2015,1,2015-06-01,Sudeste,SP,São Paulo,Privada,2º ano,1620,93,5.77,2468.8,74.28,93.2,Médio
2015,1,2015-06-01,Sudeste,SP,Campinas,Pública,3º ano,33979,4176,12.29,3178.77,70.68,67.0,Alto
2015,1,2015-06-01,Sudeste,SP,Campinas,Privada,1º ano,9280,414,4.47,934.83,67.13,57.1,Médio
2015,1,2015-06-01,Sudeste,SP,Ribeirão Preto,Pública,1º ano,6886,684,9.93,3756.94,72.15,94.8,Alto
